use_case,size,heap_size,concurrent_users,collector,latency
1,1024,200,1,2,0.3875938523
1,1024,200,1,3,0.4045901028
1,1024,200,1,4,0.393565503
1,1024,500,1000,1,111.9151561
1,1024,500,1000,2,111.5103025
1,1024,500,1000,3,118.881009
1,1024,500,1000,4,115.52236529999999
1,1024,500,500,1,62.0166031
1,1024,500,500,2,60.00672187
1,1024,500,500,3,61.19127613
1,1024,500,500,4,60.14619356
1,1024,500,200,1,23.07103243
1,1024,500,200,2,23.81260246
1,1024,500,200,3,25.04326266
1,1024,500,200,4,24.21422931
1,1024,500,100,1,11.71728218
1,1024,500,100,2,11.70839898
1,1024,500,100,3,12.5083174
1,1024,500,100,4,11.94806178
1,1024,500,50,1,5.9961099639999995
1,1024,500,50,2,5.911811768
1,1024,500,50,3,6.1305614760000005
1,1024,500,50,4,6.116167615
1,1024,500,1,1,0.38549977399999996
1,1024,500,1,2,0.3879305164
1,1024,500,1,3,0.40173344229999997
1,1024,500,1,4,0.38803958450000003
1,1024,1000,1000,1,113.03736299999998
1,1024,1000,1000,2,106.0154088
1,1024,1000,1000,3,112.2190656
1,1024,1000,1000,4,112.0914798
1,1024,1000,500,1,58.99378376
1,1024,1000,500,2,58.75342991
1,1024,1000,500,3,60.01120110000001
1,1024,1000,500,4,57.90114006
1,1024,1000,200,1,23.60259545
1,1024,1000,200,2,22.38635229
1,1024,1000,200,3,24.47228514
1,1024,1000,200,4,23.10645968
1,1024,1000,100,1,11.32943303
1,1024,1000,100,2,11.0039639
1,1024,1000,100,3,12.32689962
1,1024,1000,100,4,12.03623115
1,1024,1000,50,1,5.962869823999999
1,1024,1000,50,2,5.784235493
1,1024,1000,50,3,6.311522175
1,1024,1000,50,4,6.064417145
1,1024,1000,1,1,0.382687125
1,1024,1000,1,2,0.38482921600000003
1,1024,1000,1,3,0.4073714732
1,1024,1000,1,4,0.3869017532
1,1024,4000,1000,1,108.3302798
1,1024,4000,1000,2,105.8253772
1,1024,4000,1000,3,113.95415179999999
1,1024,4000,1000,4,121.5972525
1,1024,4000,500,1,56.52497683
1,1024,4000,500,2,57.94266368
1,1024,4000,500,3,62.43166566
1,1024,4000,500,4,65.19690599
1,1024,4000,200,1,23.48871625
1,1024,4000,200,2,22.015540899999998
1,1024,4000,200,3,24.59737452
1,1024,4000,200,4,25.47295893
1,1024,4000,100,1,11.76784566
1,1024,4000,100,2,11.55246749
1,1024,4000,100,3,12.16496698
1,1024,4000,100,4,12.46517415
1,1024,4000,50,1,5.780079167
1,1024,4000,50,2,5.740361342000001
1,1024,4000,50,3,6.187217264
1,1024,4000,50,4,6.337349702000001
1,1024,4000,1,1,0.4053951044
1,1024,4000,1,2,0.40589247869999995
1,1024,4000,1,3,0.4011773594
1,1024,4000,1,4,0.41030907270000005
1,10240,100,1000,1,3600.660378
1,10240,100,1000,2,1383.873995
1,10240,100,1000,3,1373.990097
1,10240,100,1000,4,4009.2646560000003
1,10240,100,500,1,507.0405806
1,10240,100,500,2,478.4490271000001
1,10240,100,500,3,566.8932417000001
1,10240,100,500,4,479.4080918000001
1,10240,100,200,1,194.7439417
1,10240,100,200,2,176.3771235
1,10240,100,200,3,201.2491908
1,10240,100,200,4,186.15809430000002
1,10240,100,100,1,89.9526917
1,10240,100,100,2,87.77233782
1,10240,100,100,3,88.57872314
1,10240,100,100,4,89.46609745
1,10240,100,50,1,42.57795881
1,10240,100,50,2,41.73301304
1,10240,100,50,3,39.69133012
1,10240,100,50,4,40.55949277
1,10240,100,1,1,1.963181765
1,10240,100,1,2,1.913627189
1,10240,100,1,3,1.842131577
1,10240,100,1,4,1.837491608
1,10240,200,1000,1,922.6851125
1,10240,200,1000,2,849.4629412
1,10240,200,1000,3,875.8355452999999
1,10240,200,1000,4,840.6342072999998
1,10240,200,500,1,454.67454019999997
1,10240,200,500,2,398.87726560000004
1,10240,200,500,3,423.17855639999993
